问题,设计角度,4o,4o,ds,ds,,,,,,,,,,,,,,,
请撰写一篇关于“城市交通变化”的文章。请确保文章仅由4个段落（不要出现标题）组成，每个段落之间用'～～'符号分隔。其中第3段的第2和第3个字必须是“交通”。,指定特定位置的span,0,,0,,,,,,,,,,,,,,,,
请撰写一篇关于“城市交通变化”的文章。请确保文章仅由4个段落（不要出现标题）组成，每个段落之间用'～～'符号分隔。其中第2段的结尾必须是“城市交通速度”字。,指定特定位置(结尾)的text span,0,,0,,,,,,,,,,,,,,,,
请撰写一篇关于“城市交通变化”的文章。请确保文章仅由4个段落（不要出现标题）组成，每个段落之间用'～～'符号分隔。其中第2段的第3句话必须是“而且，城市交通速度也提升了很多。”。,指定特定位置的一整句,0,,0,,,,,,,,,,,,,,,,
请撰写一篇关于“城市交通变化”的200字的文章，不算标点符号。,严格字数,0,,0,,,,,,,,,,,,,,,,
请撰写7句关于“城市交通变化”的短文。,严格句数,0,,0,,,,,,,,,,,,,,,,
请撰写一篇关于“城市交通变化”的文章。请确保文章仅由4个段落（不要出现标题）组成，每个段落之间用'～～'符号分隔。,严格段数,0,,0,,,,,,,,,,,,,,,,
"Summarize this paragraph in exactly 20 words. In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",以上是生成，下面任务设计长文本的总结：严格字数控制,0,,0,,,,,,,,,,,,,,,,
"Summarize this paragraph in no more than ten words.  In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",字数范围控制，num1<x or x<num2,0,,0,,,,,,,,,,,,,,,,
"Summarize the passage in three sentences and the second sentence must be ""It is interesting."". In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",句子数目控制,0,,0,,,,,,,,,,,,,,,,
"Summarize the passage in no less than ten words and no more than twenty words. In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",字数范围控制，num1<x<num2,0,,0,,,,,,,,,,,,,,,,
"Summarize the passage in ten words and the second word must be ""is"". In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",严格字数+指定位置词,0,,0,,,,,,,,,,,,,,,,
"Summarize the article in five sentences. In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",严格句数,0,,0,,,,,,,,,,,,,,,,
"Summarize the essay in five sentences, and the second sentence must begin with ""It is."". In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",严格句数+指定位置的text span,0,,0,,,,,,,,,,,,,,,,
"Summarize the passage in five sentences, and the third word of the second sentence must be ""is"". In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",严格句数+指定位置的word,0,,0,,,,,,,,,,,,,,,,
"Summarize the essay in five sentences, the fourth sentence must be ""Donald quickly gained popularity, even surpassing Mickey Mouse due to his temper and relatable flaws."". In 1933 an unknown American called Clarence Nash went to see the filmmaker Walt Disney. He had an unusual voice and he wanted to work in Disney's cartoon film for children. When Walt Disney heard Nash's voice, he said ""Stop! That's our duck!""
The duck was the now-famous Donald Duck, who first appeared in 1934 in the film The Wise Little Hen. Donald lived in an old houseboat and wore his sailor jacket and hat. Later that year he became a star after an eight-minute Mickey Mouse film. The cinema audience liked him because he was lazy and greedy, and because he lost his temper very quickly . And they loved his voice when he became angry with Mickey's eight nephews. Soon Donald was more popular than Mickey Mouse himself, probably because he wasn't a goody-goody like Mickey.
In the 1930S,' 40s and '50s Donald and hid friends Mickey , Goofy and Pluto made hundreds of Disney cartoons. He also made educational films about the place of the USA in the world, and safety in the home. Then in 1966 Donald Duck and his voice disappeared---there were no more new cartoons.
Clarence Nash died in February, 1985. But today's children can still see the old cartoons on television and hear that famous voice.",严格句数+指定位置的句子,0,,0,,,,,,,,,,,,,,,,
"请你进行一个贪吃蛇游戏，游戏规则如下：
1.贪吃蛇每吃一个字就会变长一节。
2.贪吃蛇初始化为-，吃了水果或食物之后就会增长一节。例如状态'-'吃到apple的过程可以用序列- apple --表示。
请你生成吃了apple,orange,banana的序列,文本以生成的序列结尾。",规则限定的文字游戏，可能生成的序列语义无意义,0,,0,,,,,,,,,,,,,,,,
"请你进行一个贪吃蛇游戏，游戏规则如下：
1.贪吃蛇每吃一个字就会变长一节。
2.贪吃蛇初始化为-，吃了水果或食物之后就会增长一节。例如状态'-'吃到apple的过程可以用序列- apple --表示。
3.如果贪吃蛇吃过一样的水果或食物或者吃了""stone""则不会增长。
请你生成吃了apple,orange,stone,banana的序列,文本以生成的序列结尾。",新增条件,0,,0,,,,,,,,,,,,,,,,
"请你进行一个贪吃蛇游戏，游戏规则如下：
1.贪吃蛇每吃一个字就会变长一节。
2.贪吃蛇初始化为-，吃了水果或食物之后就会增长一节。例如状态'-'吃到apple的过程可以用序列- apple --表示。
3.如果贪吃蛇吃过一样的水果或食物则不会增长。
4.如果贪吃蛇吃了""stone""则会减少一节。
5.贪吃蛇长度少于一节则状态设置为“o”
请你生成吃了apple,orange,stone,banana的序列,文本以生成的序列结尾。",新增状态,0,,0,,,,,,,,,,,,,,,,
"请你进行一个贪吃蛇游戏，游戏规则如下：
1.贪吃蛇每吃一个字就会变长一节。
2.贪吃蛇初始化为-，吃了水果或食物之后就会增长一节。例如状态'-'吃到apple的过程可以用序列- apple --表示。
3.如果贪吃蛇吃过一样的水果或食物则不会增长。
4.如果贪吃蛇吃了""stone""和""thorns""则会减少一节
5.贪吃蛇最短为一节，不能再短。
请你生成吃了apple,orange,stone,banana,thorns的序列,文本以生成的序列结尾。",新增条件项,0,,0,,,,,,,,,,,,,,,,
"请你进行一个贪吃蛇游戏，游戏规则如下：
1.贪吃蛇每吃一个字就会变长一节。
2.贪吃蛇初始化为-，吃了水果或食物之后就会增长一节。例如状态'-'吃到apple的过程可以用序列- apple --表示。
3.如果贪吃蛇吃过一样的水果或食物则不会增长。
4.如果贪吃蛇吃了""stone""和""thorns""则会减少一节
5.贪吃蛇最短为一节，不能再短。
请你生成吃了apple,orange,stone,banana,thorns,stone,stone的序列,文本以生成的序列结尾。",复杂样例,0,,0,,,,,,,,,,,,,,,,
"Create a acrostics (the first letter spells out the word ""Love"").",文字游戏-藏头诗-单词,0,,0,,,,,,,,,,,,,,,,
"Create a acrostics (the first letter spells out the word ""Love you forever"").",藏头诗-句子,0,,0,,,,,,,,,,,,,,,,
"Write a sentence that requires the first letter of each word in the sentence to spell out the word ""Love"".",句子-单词,0,,0,,,,,,,,,,,,,,,,
"Write a sentence that requires the first letter of each word in the sentence to spell out the word ""geography"".",句子-难词,0,,0,,,,,,,,,,,,,,,,
"Write a poem that requires the first character of each paragraph to form the word ""Love"".",段落首字母构成单词,0,,0,,,,,,,,,,,,,,,,
"Write a poem that requires the first character of the second sentence of each paragraph to form the word ""Love"".",段落第二句首字母构成单词,0,,0,,,,,,,,,,,,,,,,
"Write a poem that requires the first character of the second sentence of each paragraph to form the word ""geography"".",段落第二句首字母构成难词,0,,0,,,,,,,,,,,,,,,,
Creating well-formed markdown tables requires maintaining column alignment and consistent spacing.,格式要求表格,0,,0,,,,,,,,,,,,,,,,
"Create a well-formed markdown table with 5 rows and 7 columns, and maintain column alignment and consistent spacing.",表格+行列数目,0,,0,,,,,,,,,,,,,,,,
"Creating well-formed markdown tables requires maintaining column alignment and consistent spacing. The content of the second cell in the table header is ""Gender.""",格式+内容（表头）,0,,0,,,,,,,,,,,,,,,,
"Creating well-formed markdown tables requires maintaining column alignment and consistent spacing. The content of the second cell in the first row is ""37"".",指定具体位置的单元格,0,,0,,,,,,,,,,,,,,,,
"Create a well-formatted 5-row, 7-column Markdown table, with the sum of the numbers in the third row equaling 89.",指定单元格一行的总和,0,,0,,,,,,,,,,,,,,,,
"Create a well-formatted 5-row, 7-column Markdown table, with the sum of the numbers in the fourth column equaling 73.",指定单元格一列的总和,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each column are greater than those in the previous column. ",比前列大,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table, where the numbers in each column are smaller than the numbers in the previous column.",比前列小,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each column are smaller than those in the previous column. The last column must be filled entirely with 120.",比前列小，且指定最后一列,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each column are greater than those in the previous column. The last column must be filled entirely with 120.",比前列大，且指定最后一列,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in the fourth column are all greater than the numbers in the second column.",指定两列比较,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in the fourth column are greater than those in the second column and smaller than those in the sixth column.",2nd<4th<6th,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the sum of the values in the 2nd, 4th, and 6th columns in each row equals 200.",2nd+4nd+6nd=200,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table, where the sum of the values in the 2nd, 4th, and 6th columns for each row equals 200, and the value in each column does not exceed 80.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each row are greater than those in the previous row. ",行,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table, where the numbers in each row are smaller than the numbers in the previous row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each row are smaller than those in the previous row. The last row must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in each row are greater than those in the previous row. The last row must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in the fourth row are all greater than the numbers in the second row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the numbers in the fourth row are greater than those in the second row and smaller than those in the sixth row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table where the sum of the values in the 2nd, 3th, and 4th row in each row equals 200.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column Markdown table, where the sum of the values in the 2nd, 4th, and 6th rows for each row equals 200, and the value in each row does not exceed 80.",,0,,0,,,,,,,,,,,,,,,,
Creating well-formed latex tables requires maintaining column alignment and consistent spacing.,latex表格,0,,0,,,,,,,,,,,,,,,,
"Create a well-formed latex table with 5 rows and 7 columns, and maintain column alignment and consistent spacing.",,0,,0,,,,,,,,,,,,,,,,
"Creating well-formed latex tables requires maintaining column alignment and consistent spacing. The content of the second cell in the table header is ""Gender.""",,0,,0,,,,,,,,,,,,,,,,
"Creating well-formed latex tables requires maintaining column alignment and consistent spacing. The content of the second cell in the first row is ""37"".",,0,,0,,,,,,,,,,,,,,,,
"Create a well-formatted 5-row, 7-column latex table, with the sum of the numbers in the third row equaling 89.",,0,,0,,,,,,,,,,,,,,,,
"Create a well-formatted 5-row, 7-column latex table, with the sum of the numbers in the fourth column equaling 73.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each column are greater than those in the previous column. ",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table, where the numbers in each column are smaller than the numbers in the previous column.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each column are smaller than those in the previous column. The last column must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each column are greater than those in the previous column. The last column must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in the fourth column are all greater than the numbers in the second column.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in the fourth column are greater than those in the second column and smaller than those in the sixth column.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the sum of the values in the 2nd, 4th, and 6th columns in each row equals 200.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table, where the sum of the values in the 2nd, 4th, and 6th columns for each row equals 200, and the value in each column does not exceed 80.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each row are greater than those in the previous row. ",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table, where the numbers in each row are smaller than the numbers in the previous row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each row are smaller than those in the previous row. The last row must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in each row are greater than those in the previous row. The last row must be filled entirely with 120.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in the fourth row are all greater than the numbers in the second row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the numbers in the fourth row are greater than those in the second row and smaller than those in the sixth row.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table where the sum of the values in the 2nd, 3th, and 4th row in each row equals 200.",,0,,0,,,,,,,,,,,,,,,,
"Create a 5-row, 7-column latex table, where the sum of the values in the 2nd, 4th, and 6th rows for each row equals 200, and the value in each row does not exceed 80.",,0,,0,,,,,,,,,,,,,,,,
给出一个所有元素值相加为100的json数据,问题+ 一层json格式,0,,0,,,,,,,,,,,,,,,,
给出一个所有元素值相加为100的json数据，json包含十个元素。,一层json格式+指定数目,0,,0,,,,,,,,,,,,,,,,
给出一个所有元素值相加为100的json数据，json包含十个元素，并且必须包含数字25。,一层json格式+指定数目+具体数字,0,,0,,,,,,,,,,,,,,,,
给出一个所有元素值相加为100的json数据，json包含十个元素，并且第三个元素必须是数字23。,指定位置的数字,0,,0,,,,,,,,,,,,,,,,
"请生成一个二级的JSON数据，包含多个键（例如，category1, category2），每个键对应一个包含数字列表的值。所有列表内的数字值加起来必须为110。",二级josn+问题,0,,0,,,,,,,,,,,,,,,,
"请生成一个二级的JSON数据，包含多个键（例如，category1, category2），每个键对应一个包含数字列表的值。所有列表内的数字值加起来必须为110。数据中必须包含至少5个键。",键数,0,,0,,,,,,,,,,,,,,,,
"请生成一个二级的JSON数据，包含多个键（例如，category1, category2），每个键对应一个包含数字列表的值。列表内的数字值加起来必须为110。数据中必须包含至少5个键，每个键下的列表中至少包含3个数字。",键数+值数,0,,0,,,,,,,,,,,,,,,,
"请生成一个二级的JSON数据，包含多个键（例如，category1, category2），每个键对应一个包含数字列表的值。列表内的数字值加起来必须为110。数据中必须包含至少5个键，每个键下的列表中至少包含一个1。",键数+值数+具体值,0,,0,,,,,,,,,,,,,,,,
"请生成一个三级结构的JSON数据，包含以下要求： 1. 顶层有3个元素，每个元素表示一个分类（例如 ""category1"", ""category2"", ""category3""）。 2. 每个分类下面有2个子项（例如 ""item1"", ""item2""），表示具体内容。 3. 每个子项下再有2个孙级项（例如 ""subitem1"", ""subitem2""）。 ",三级json,0,,0,,,,,,,,,,,,,,,,
"请生成一个三级结构的JSON数据，包含以下要求： 1. 顶层有3个元素，每个元素表示一个分类（例如 ""category1"", ""category2"", ""category3""）。 2. 每个分类下面有2个子项（例如 ""item1"", ""item2""），表示具体内容。 3. 每个子项下再有2个孙级项（例如 ""subitem1"", ""subitem2""）。 4. 所有数字的值相加为110。",三级json+总和,0,,0,,,,,,,,,,,,,,,,
"请生成一个三级结构的JSON数据，包含以下要求： 1. 顶层有3个元素，每个元素表示一个分类（例如 ""category1"", ""category2"", ""category3""）。 2. 每个分类下面有2个子项（例如 ""item1"", ""item2""），表示具体内容。 3. 每个子项下再有2个孙级项（例如 ""subitem1"", ""subitem2""）。 4.第二个元素的第二子项值必须包含17。",三层jsonl+指定位置指定值,0,,0,,,,,,,,,,,,,,,,
写一首歌词，要求末尾的词与“shine”押韵,诗歌押韵,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。,韵脚+行数,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。并且第4句必须为“Our future is bright.”。,韵脚+行数+指定句子,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。并且第4句必须以“Our”开头。,韵脚+行数+指定字,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。并且第4句的第2个字必须是“future”。,韵脚+行数+结尾字,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。并且第3句必须以“knight”结尾。,韵脚+行数+结尾词,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“night”和“bright”。并且第3句必须以“a rainy night”结尾。,韵脚+行数+结尾span,0,,0,,,,,,,,,,,,,,,,
写一首歌词，要求末尾的词与“爱”押韵,中文,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。,,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。并且第4句必须为“我们的爱被风吹向大海”。,,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。并且第4句必须以“我们”开头。,,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。并且第4句的第2个字必须是“风”。,,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。并且第3句必须以“来”结尾。,,0,,0,,,,,,,,,,,,,,,,
生成一个六行歌词，要求每行韵脚为“海”和“爱”。并且第3句必须以“苍白”结尾。,,0,,0,,,,,,,,,,,,,,,,
生成数组求和的python函数，要求最后一行为“return list_sum”,代码+限定return 变量名,0,,0,,,,,,,,,,,,,,,,
